City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,malakal,9.5334,31.6605,308.76,11,97,2.29,SS,1714760976
128,argo,37.6333,22.7333,289.04,56,1,4.71,GR,1714760976
129,alofi,-19.0595,-169.9187,297.09,94,20,1.03,NU,1714760977
130,guiuan,11.0333,125.7247,301.2,75,86,5.52,PH,1714760977
131,ancud,-41.8697,-73.8203,283.93,90,99,3.76,CL,1714760977
132,hermanus,-34.4187,19.2345,288.04,72,25,2.75,ZA,1714760977
133,hobyo,5.3505,48.5268,302.84,78,100,6.04,SO,1714760977
134,valparaiso,-33.0393,-71.6273,293.78,48,0,4.63,CL,1714760745
135,palikir - national government center,6.9248,158.1611,300.56,78,100,4.63,FM,1714760977
136,grantsville,40.5999,-112.4644,285.98,46,40,3.09,US,1714760978
137,nadi,-17.8,177.4167,297.15,88,40,1.54,FJ,1714760978
138,puerto aysen,-45.4,-72.7,278.4,100,100,1.86,CL,1714760978
139,gouyave,12.1646,-61.7296,303.58,70,20,8.23,GD,1714760978
140,kizner,56.2749,51.508,273.75,74,73,4.97,RU,1714760978
141,mount isa,-20.7333,139.5,294.02,52,36,5.14,AU,1714760978
142,buka,40.8108,69.1986,292.68,48,100,1.49,UZ,1714760978
143,kalamata,37.0389,22.1142,290.02,55,20,3.6,GR,1714760978
144,st. john's,47.5649,-52.7093,279.9,95,100,8.05,CA,1714760932
145,hawaiian paradise park,19.5933,-154.9731,295.95,96,100,3.09,US,1714760979
146,fortuna,40.5982,-124.1573,290.89,60,75,1.34,US,1714760979
147,mokhsogollokh,61.4681,128.9203,276.61,79,100,1.87,RU,1714760974
148,puerto armuelles,8.2833,-82.8667,305.14,72,52,0.45,PA,1714760979
149,yarkovo,57.4028,67.0786,276.34,92,100,2.01,RU,1714760979
150,puerto carreno,6.189,-67.4859,307.14,55,20,3.09,CO,1714760979
151,paita,-5.0892,-81.1144,297.16,69,96,4.66,PE,1714760979
152,utrik,11.2278,169.8474,300.35,79,99,8.46,MH,1714760980
153,nyurba,63.2842,118.3319,270.08,99,97,0.8,RU,1714760980
154,nieuw amsterdam,5.8833,-55.0833,306.24,74,75,5.14,SR,1714760980
155,atherton,53.5237,-2.4935,286.09,91,100,2.87,GB,1714760980
156,yuzhno-kurilsk,44.0306,145.8556,276.14,90,91,7.97,RU,1714760980
157,yei,4.095,30.6779,295.21,76,95,2.0,SS,1714760980
158,inhambane,-23.865,35.3833,296.14,78,40,2.06,MZ,1714760980
159,sola,-13.8833,167.55,301.12,81,68,11.54,VU,1714760981
160,durham,36.0335,-78.8664,305.48,55,75,3.6,US,1714760851
161,lashio,22.9333,97.75,291.9,61,3,0.26,MM,1714760981
162,zhezqazghan,47.7833,67.7667,292.06,33,100,2.21,KZ,1714760981
163,cabugao,17.7931,120.4578,300.07,76,4,2.75,PH,1714760981
164,nong phai,15.9903,101.0618,303.6,54,41,1.56,TH,1714760981
165,kimbe,-5.5502,150.1429,297.98,94,79,1.5,PG,1714760981
166,sestri levante,44.2732,9.3968,289.61,88,74,0.45,IT,1714760982
167,broome,42.2506,-75.833,297.43,50,0,2.57,US,1714760982
168,santa ana,33.7456,-117.8678,293.35,75,100,2.06,US,1714760919
169,puli,23.9664,120.9695,297.16,88,65,1.44,TW,1714760982
170,vuosaari,60.2083,25.1436,288.5,43,0,1.03,FI,1714760982
171,tazovsky,67.4667,78.7,264.76,96,100,3.92,RU,1714760913
172,shingu,33.7333,135.9833,286.73,90,0,2.24,JP,1714760982
173,beni,0.5,29.4667,291.57,98,100,1.25,CD,1714760983
174,atafu village,-8.5421,-172.5159,301.99,77,100,3.31,TK,1714760983
175,imbituba,-28.24,-48.6703,296.96,95,100,1.37,BR,1714760983
176,tara,56.8944,74.371,275.26,64,63,3.78,RU,1714760983
177,kashgar,39.4547,75.9797,292.71,22,40,4.0,CN,1714760743
178,talnakh,69.4865,88.3972,260.87,94,100,2.49,RU,1714760983
179,gizo,-8.103,156.8419,299.57,89,100,3.42,SB,1714760983
180,balabac,7.9868,117.0645,300.8,78,65,3.28,PH,1714760984
181,pico truncado,-46.7949,-67.9573,283.37,47,82,11.27,AR,1714760727
182,isanlu-itedoijowa,8.2667,5.8333,302.15,65,100,1.21,NG,1714760984
183,sitka,57.0531,-135.33,290.09,29,40,6.17,US,1714760984
184,remire-montjoly,4.9167,-52.2667,300.17,94,100,2.57,GF,1714760984
185,usogorsk,63.4106,48.6872,271.3,87,96,3.36,RU,1714760984
186,chonchi,-42.6128,-73.8092,285.44,88,95,2.33,CL,1714760984
187,ocean shores,46.9737,-124.1563,288.96,76,0,5.14,US,1714760903
188,bredasdorp,-34.5322,20.0403,290.07,79,5,0.13,ZA,1714760985
189,itoigawa,37.0333,137.85,288.19,51,0,2.27,JP,1714760985
190,juegang,32.3174,121.1855,286.59,81,100,3.67,CN,1714760985
191,lalganj,25.8667,85.1833,303.12,10,54,2.38,IN,1714760985
192,ad dilam,23.9915,47.1627,304.38,19,0,3.21,SA,1714760985
193,palapye,-22.546,27.1251,292.91,47,0,3.68,BW,1714760985
194,loikaw,19.6742,97.2094,296.57,55,31,1.8,MM,1714760985
195,okhotsk,59.3833,143.3,272.88,88,91,2.11,RU,1714760985
196,erenhot,43.6475,111.9767,290.06,42,99,4.31,CN,1714760986
197,vorgashor,67.5833,63.95,255.82,100,94,1.37,RU,1714760986
198,angaur state,6.906,134.13,301.53,73,100,6.55,PW,1714760986
199,brisas de zicatela,15.8369,-97.0419,303.44,79,40,3.6,MX,1714760986
200,east london,-33.0153,27.9116,297.67,64,0,2.57,ZA,1714760986
201,taroa,8.7058,171.2275,300.81,85,93,8.68,MH,1714760986
202,celestun,20.8667,-90.4,307.61,39,70,2.58,MX,1714760986
203,gordonvale,-17.0936,145.7842,296.03,99,94,2.01,AU,1714760987
204,inarajan village,13.2736,144.7484,300.23,88,32,4.54,GU,1714760987
205,jinja,0.439,33.2032,293.78,83,93,2.67,UG,1714760987
206,tromso,69.6496,18.957,277.16,93,75,6.17,NO,1714760984
207,ataq,14.5377,46.8319,298.06,70,62,7.86,YE,1714760987
208,mangrol,21.1167,70.1167,300.15,86,8,6.56,IN,1714760987
209,orhei,47.3831,28.8231,294.14,50,89,6.48,MD,1714760987
210,port alfred,-33.5906,26.891,296.58,64,0,4.04,ZA,1714760987
211,atlantic,39.4668,-74.6663,285.18,79,100,6.69,US,1714760988
212,guerrero negro,27.9769,-114.0611,292.01,60,96,5.96,MX,1714760988
213,kairana,29.4,77.2,304.32,13,100,3.86,IN,1714760988
214,qarqaraly,49.4058,75.4742,283.08,49,39,1.98,KZ,1714760988
215,port blair,11.6667,92.75,301.17,83,20,1.03,IN,1714760988
216,aykhal,66.0,111.5,260.91,100,50,1.84,RU,1714760988
217,dong ha,16.8163,107.1003,297.6,93,92,0.68,VN,1714760988
218,koksan,38.7819,126.6664,285.85,63,0,1.36,KP,1714760988
219,ta`u,-14.2336,-169.5144,302.1,75,72,8.07,AS,1714760989
220,silver city,32.7701,-108.2803,296.85,18,0,4.63,US,1714760989
221,gobabis,-22.45,18.9667,292.51,20,3,5.55,NA,1714760989
222,panguipulli,-39.6333,-72.3333,277.69,98,100,2.59,CL,1714760989
223,tirumala,13.6833,79.35,298.24,65,69,3.11,IN,1714760989
224,buala,-8.145,159.5921,300.35,86,100,2.8,SB,1714760989
225,happy valley-goose bay,53.3168,-60.3315,277.32,75,75,7.2,CA,1714760989
226,manismata,-2.4667,111.0333,296.76,99,100,0.83,ID,1714760989
227,melfi,40.9965,15.6514,284.53,88,68,3.43,IT,1714760990
228,chiredzi,-21.05,31.6667,293.44,70,3,2.96,ZW,1714760990
229,fuling,29.7022,107.3919,288.78,97,100,0.64,CN,1714760990
230,conde,-7.2597,-34.9075,303.85,70,40,6.17,BR,1714760990
231,lethem,3.3803,-59.7968,300.69,75,100,0.59,GY,1714760990
232,honiara,-9.4333,159.95,299.89,89,100,1.85,SB,1714760990
233,kavaratti,10.5669,72.642,303.26,64,46,2.76,IN,1714760990
234,moose jaw,50.4001,-105.5344,278.3,93,100,9.26,CA,1714760990
235,moyynkum,44.2914,72.9469,294.07,43,100,3.8,KZ,1714760991
236,saudarkrokur,65.7461,-19.6394,283.21,65,88,2.56,IS,1714760991
237,mount gambier,-37.8333,140.7667,281.44,91,64,1.57,AU,1714760991
238,tindouf,27.6711,-8.1474,306.4,5,0,6.17,DZ,1714760991
239,afaahiti,-17.75,-149.2833,300.08,82,100,9.75,PF,1714760991
240,sho'rchi,38.0141,67.7899,292.9,53,100,3.86,UZ,1714760991
241,cockburn town,21.4612,-71.1419,297.26,79,99,8.71,TC,1714760991
242,san angelo,31.4638,-100.437,305.27,44,20,5.14,US,1714760852
243,ampere,-25.915,-53.4728,301.64,52,90,4.02,BR,1714760991
244,la foa,-21.7108,165.8276,292.23,74,58,1.32,NC,1714760992
245,urzhar,47.093,81.6294,286.31,47,24,3.03,KZ,1714760992
246,nova sintra,14.8667,-24.7167,296.61,80,0,11.3,CV,1714760992
247,changli,39.7042,119.1506,287.11,47,94,0.89,CN,1714760992
248,freetown,8.484,-13.2299,301.9,78,98,4.77,SL,1714760992
249,borgo,46.0514,11.4544,288.25,82,100,1.2,IT,1714760992
250,marsabit,2.3284,37.9899,294.75,78,91,1.37,KE,1714760993
251,gornopravdinsk,60.05,69.9,273.06,97,100,4.81,RU,1714760993
252,flin flon,54.7682,-101.865,279.06,65,100,3.6,CA,1714760993
253,sulphur,30.2366,-93.3774,295.14,92,100,4.63,US,1714760841
254,katsuren-haebaru,26.3369,127.8719,297.16,94,75,1.54,JP,1714760993
255,kudahuvadhoo,2.6708,72.8944,302.65,78,8,4.07,MV,1714760993
256,shimokizukuri,40.8061,140.3861,284.2,95,3,1.46,JP,1714760993
257,colonia,50.9333,6.95,289.28,60,0,2.06,DE,1714760971
258,mkushi,-13.6202,29.3939,289.13,63,3,2.36,ZM,1714760994
259,rio grande,-32.035,-52.0986,291.21,68,99,3.93,BR,1714760945
260,vielha,42.6846,0.7726,281.52,80,92,0.95,ES,1714760994
261,kettering,39.6895,-84.1688,295.56,77,100,3.6,US,1714760994
262,lewisville,33.0462,-96.9942,302.82,66,40,3.09,US,1714760990
263,sinop,41.7711,34.8709,283.7,90,100,1.73,TR,1714760994
264,gaigeturi,33.4644,126.3183,285.18,76,0,1.54,KR,1714760994
265,hilo,19.7297,-155.09,296.07,96,100,3.09,US,1714760994
266,kristiansund,63.1115,7.732,287.51,51,0,5.14,NO,1714760994
267,acapulco de juarez,16.8634,-99.8901,303.05,70,75,3.6,MX,1714760716
268,nemuro,43.3236,145.575,276.88,83,61,8.66,JP,1714760995
269,tshikapa,-6.4167,20.8,298.05,49,9,0.71,CD,1714760995
270,khandyga,62.6667,135.6,268.18,98,100,0.37,RU,1714760995
271,acarau,-2.8856,-40.12,302.22,78,99,5.89,BR,1714760995
272,kodinsk,58.6881,99.1844,277.84,97,100,2.81,RU,1714760995
273,fereydunshahr,32.941,50.121,277.37,91,97,3.08,IR,1714760995
274,ust'-kulom,61.6864,53.6902,268.56,78,96,2.14,RU,1714760995
275,kourou,5.1552,-52.6478,300.18,80,75,3.76,GF,1714760995
276,zhanaozen,43.3,52.8,291.59,38,100,7.61,KZ,1714760996
277,kotka,60.4664,26.9458,284.74,88,94,3.43,FI,1714760996
278,morondava,-20.2833,44.2833,299.44,58,0,5.23,MG,1714760996
279,gaoyou,32.7858,119.4278,287.42,72,100,5.71,CN,1714760996
280,colonia menno,-22.3667,-59.8167,291.35,83,100,3.39,PY,1714760996
281,belo sur tsiribihina,-19.7,44.55,297.71,80,0,2.27,MG,1714760996
282,la plata,-34.9215,-57.9545,289.16,47,64,2.87,AR,1714760709
283,san patricio,28.017,-97.5169,301.78,78,100,7.09,US,1714760997
284,laguna,38.421,-121.4238,297.31,37,0,6.17,US,1714760997
285,korla,41.7597,86.1469,292.24,17,52,0.98,CN,1714760997
286,solwezi,-12.1688,26.3894,288.99,64,21,2.14,ZM,1714760997
287,nolinsk,57.5596,49.9363,271.41,79,26,2.63,RU,1714760997
288,weatherford,32.7593,-97.7972,300.35,81,93,0.45,US,1714760760
289,parras de la fuente,25.4167,-102.1833,303.3,6,43,3.48,MX,1714760997
290,enewetak,11.3474,162.3373,300.47,82,100,8.07,MH,1714760997
291,vila franca do campo,37.7167,-25.4333,291.42,99,99,5.76,PT,1714760998
292,qamdo,31.1667,97.2333,272.34,47,14,1.34,CN,1714760998
293,conduaga,8.862,117.4893,298.61,87,93,1.31,PH,1714760998
294,at taraf,25.3628,49.725,303.45,28,18,4.38,SA,1714760999
295,tot'ma,59.9747,42.7642,271.11,53,15,2.16,RU,1714760999
296,kargasok,59.0556,80.8572,270.91,62,45,2.68,RU,1714760999
297,nuuk,64.1835,-51.7216,270.49,46,0,10.29,GL,1714760999
298,camaguey,21.3808,-77.9169,304.34,55,75,8.23,CU,1714760999
299,malax,62.9423,21.5731,284.12,50,0,3.6,FI,1714760999
300,cianorte,-23.6633,-52.605,304.94,34,94,3.3,BR,1714760999
301,aasiaat,68.7098,-52.8699,265.96,75,72,1.37,GL,1714761000
302,kaa-khem,51.6833,94.7333,287.82,50,100,2.24,RU,1714761000
303,kailua-kona,19.6406,-155.9956,298.3,78,0,0.0,US,1714760916
304,vadso,70.0744,29.7487,274.64,80,75,5.14,NO,1714761000
305,saldanha,-33.0117,17.9442,290.18,88,55,1.72,ZA,1714761000
306,quelimane,-17.8786,36.8883,299.12,83,20,3.21,MZ,1714761000
307,manaure,11.7751,-72.4445,302.62,72,100,6.23,CO,1714761000
308,san andres,12.5847,-81.7006,304.16,62,20,3.6,CO,1714761001
309,weligama,5.9667,80.4167,301.32,85,2,1.7,LK,1714761001
310,cabedelo,-6.9811,-34.8339,304.52,73,82,5.7,BR,1714760741
311,severo-yeniseyskiy,60.3725,93.0408,266.25,97,92,1.79,RU,1714761001
312,tolanaro,-25.0319,46.9987,295.19,83,40,6.17,MG,1714761001
313,kalmunai,7.4167,81.8167,301.78,85,64,5.68,LK,1714761001
314,chipiona,36.7366,-6.437,295.25,55,0,5.66,ES,1714761001
315,amungan,15.3652,119.9582,301.0,66,14,1.87,PH,1714761002
